,St,DelinqntSv,Sex,Race,TribeSv,EdLevlSv,SpecEdSv,RaceEthn
407,CA,1,1,1,0,11,0,7
408,CA,0,1,2,0,11,0,2
409,CA,1,1,99,0,9,0,7
410,CA,0,2,99,0,11,0,7
411,CA,0,2,2,0,10,0,2
412,CA,0,1,1,0,10,1,1
413,CA,0,1,2,0,9,0,2
414,CA,0,2,99,0,9,0,7
415,CA,0,2,1,0,9,1,1
416,CA,0,1,6,0,10,1,6
417,CA,0,1,4,0,11,1,7
418,CA,0,2,99,0,10,0,7
419,CA,0,2,2,0,10,1,2
420,CA,0,2,1,0,11,0,7
421,CA,0,1,99,0,11,0,7
422,CA,0,2,1,0,10,0,1
423,CA,1,1,99,0,12,1,7
424,CA,1,2,99,0,11,0,7
425,CA,0,2,1,0,11,0,1
426,CA,0,2,1,0,11,0,1
427,CA,0,2,2,0,11,1,2
428,CA,0,2,2,0,14,1,2
429,CA,0,1,99,0,11,1,7
430,CA,0,1,99,0,11,0,7
431,CA,0,2,4,0,11,0,7
432,CA,1,1,99,0,10,1,7
433,CA,0,1,1,0,11,0,1
434,CA,1,1,1,0,11,0,1
435,CA,0,1,1,0,9,1,1
436,CA,1,1,1,0,11,0,1
437,CA,1,1,2,0,11,0,2
438,CA,0,1,1,0,10,1,7
439,CA,1,1,1,0,10,1,1
440,CA,0,2,1,0,10,1,1
441,CA,0,2,99,0,11,0,7
442,CA,1,2,99,0,10,0,99
443,CA,0,1,6,0,10,0,6
444,CA,1,1,1,0,6,1,1
445,CA,0,1,2,0,10,0,2
446,CA,0,2,2,0,9,1,7
448,CA,0,1,1,0,10,1,1
449,CA,0,2,1,0,10,1,7
450,CA,1,1,99,0,14,0,7
451,CA,0,1,2,0,9,0,2
453,CA,0,1,2,0,11,0,2
454,CA,0,2,2,0,13,0,2
455,CA,0,2,2,0,10,0,2
456,CA,0,1,1,0,10,1,7
457,CA,0,2,1,0,11,0,7
458,CA,0,1,1,0,10,0,1
459,CA,0,2,1,0,9,1,1
460,CA,0,1,2,0,10,0,2
461,CA,1,2,1,0,11,0,1
462,CA,0,2,1,0,12,0,1
463,CA,0,2,2,0,9,0,2
464,CA,0,1,2,0,11,1,2
466,CA,0,1,1,0,11,0,1
467,CA,0,2,1,0,10,0,1
468,CA,0,1,2,0,13,0,2
469,CA,0,2,6,1,10,0,6
470,CA,1,1,1,0,10,1,1
471,CA,0,2,99,0,11,0,7
472,CA,0,2,99,0,11,0,7
473,CA,0,2,99,0,11,0,7
474,CA,0,1,2,0,10,0,2
475,CA,0,2,2,0,11,1,2
476,CA,0,1,99,0,10,0,7
477,CA,0,2,99,0,9,0,7
478,CA,0,1,99,0,14,0,7
479,CA,0,2,1,0,10,0,1
480,CA,0,2,99,0,10,0,7
482,CA,0,1,6,0,9,1,6
483,CA,0,2,1,0,10,1,7
484,CA,0,1,1,0,10,0,1
485,CA,0,1,2,0,10,1,2
486,CA,1,1,99,0,10,0,7
487,CA,0,2,1,0,10,1,1
488,CA,0,1,2,0,7,0,2
489,CA,0,1,2,0,10,0,2
490,CA,0,2,2,0,10,0,2
491,CA,0,1,1,0,10,0,1
492,CA,0,2,2,0,11,0,2
493,CA,0,2,99,0,12,0,7
494,CA,1,1,2,0,11,0,2
495,CA,1,1,99,0,11,0,7
496,CA,0,1,1,0,12,1,1
497,CA,1,2,1,0,11,0,1
498,CA,0,1,99,0,10,0,7
499,CA,0,2,1,0,10,1,7
500,CA,0,2,1,0,11,1,1
501,CA,0,2,99,0,11,0,7
502,CA,0,1,6,0,9,0,6
503,CA,0,1,1,0,11,0,1
504,CA,0,1,1,0,10,0,7
505,CA,0,2,2,0,11,0,7
506,CA,0,1,1,0,10,0,7
507,CA,0,2,2,0,11,0,2
508,CA,1,1,1,0,10,0,1
509,CA,0,2,1,0,11,0,7
510,CA,1,1,2,0,11,0,7
511,CA,1,1,2,0,11,0,2
512,CA,0,2,1,0,10,0,1
513,CA,0,1,6,1,10,1,6
514,CA,0,2,1,0,11,1,7
516,CA,0,1,99,0,10,0,7
517,CA,0,2,1,0,11,0,1
518,CA,0,2,99,0,9,0,7
519,CA,1,2,1,0,11,1,7
520,CA,1,2,2,0,10,0,2
521,CA,0,2,4,0,13,0,4
522,CA,0,2,1,0,8,0,1
523,CA,0,2,1,0,10,1,7
524,CA,0,1,2,0,9,1,2
525,CA,0,1,2,0,0,0,2
526,CA,0,1,1,0,11,0,7
527,CA,0,2,6,0,9,0,6
