,ILNAsv,AcSuppSv,PSEdSuppSv,CareerSv,EmplyTrSv,BudgetSv,HousEdSv,HlthEdSv,FamSuppSv,MentorSv,SILsv,RmBrdFASv,EducFinaSv,OthrFinaSv,St,DelinqntSv,Sex,Race,TribeSv,EdLevlSv,SpecEdSv,RaceEthn
165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,0,1,1,0,9,0,1
166,1,1,0,0,0,0,0,0,1,1,0,0,0,0,AR,0,1,1,0,11,1,1
167,0,1,0,1,1,1,1,1,1,1,0,0,1,0,AR,0,2,1,0,10,0,7
168,1,1,1,1,1,0,0,1,1,1,0,0,0,0,AR,0,2,1,0,11,0,1
169,0,0,0,1,0,0,0,0,1,0,0,0,0,0,AR,0,2,1,0,10,0,1
170,1,1,1,1,1,0,0,0,0,0,1,1,1,1,AR,0,2,1,0,9,0,1
171,1,0,0,1,0,0,0,0,1,0,0,0,0,0,AR,0,1,6,0,11,0,6
172,1,0,0,1,0,0,0,0,0,0,0,0,0,0,AR,0,1,1,0,7,0,1
173,1,0,1,0,0,0,0,0,0,0,1,1,0,1,AR,0,2,6,0,10,0,6
174,0,1,0,1,1,1,1,1,1,1,0,0,0,0,AR,0,1,1,0,10,0,1
175,1,1,0,1,0,0,1,1,1,1,0,0,0,0,AR,0,2,2,0,10,0,2
176,0,0,1,1,1,0,0,0,1,0,1,0,0,0,AR,0,2,1,0,11,0,1
177,1,1,1,1,1,1,1,1,1,1,0,0,0,0,AR,0,2,1,0,8,0,7
178,0,1,0,1,1,1,1,1,1,1,0,0,0,0,AR,0,2,6,0,9,0,6
179,1,1,0,1,0,0,1,1,1,0,1,0,0,0,AR,0,2,1,0,7,0,7
180,1,1,0,1,0,0,0,0,0,1,0,0,0,0,AR,0,1,1,0,10,1,1
181,0,0,0,0,0,1,0,0,0,0,0,0,0,0,AR,0,1,1,0,10,0,1
182,1,0,0,0,1,0,0,0,0,0,0,0,0,0,AR,0,2,6,0,8,0,6
183,1,1,0,0,0,0,0,0,1,0,0,0,0,0,AR,0,2,2,0,11,0,2
184,0,0,0,0,0,0,0,0,1,0,0,0,0,0,AR,0,1,1,0,9,1,1
185,1,0,0,1,0,1,1,1,1,0,0,0,0,0,AR,0,1,2,0,10,0,2
186,1,0,0,1,1,0,1,0,0,1,0,0,1,1,AR,0,2,1,0,10,0,1
187,1,1,0,1,0,1,1,0,1,0,0,0,0,1,AR,0,2,1,0,10,0,1
188,0,1,0,1,0,0,0,0,1,0,0,0,0,1,AR,0,1,2,0,11,0,2
189,1,1,0,1,1,1,1,0,0,1,0,0,1,0,AR,0,2,1,0,10,0,1
190,0,0,0,1,0,0,0,0,1,0,1,0,1,1,AR,0,2,1,0,11,0,1
191,1,0,0,1,0,0,0,1,1,0,0,0,0,0,AR,0,2,1,0,8,0,1
192,0,0,0,0,0,0,0,1,1,0,0,0,0,0,AR,0,1,1,0,9,0,1
193,0,1,0,1,0,0,1,1,1,1,0,0,0,0,AR,0,2,6,1,9,0,6
194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,0,1,1,0,8,0,7
195,1,1,1,0,0,0,0,0,1,0,1,1,1,0,AR,0,1,1,0,13,0,1
196,0,1,0,1,0,1,1,1,1,0,0,0,0,1,AR,0,1,1,0,10,0,1
197,1,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,0,1,1,0,11,0,1
198,1,1,1,1,1,1,1,1,1,1,0,0,0,0,AR,0,2,1,0,10,0,1
