,ILNAsv,AcSuppSv,PSEdSuppSv,CareerSv,EmplyTrSv,BudgetSv,HousEdSv,HlthEdSv,FamSuppSv,MentorSv,SILsv,RmBrdFASv,EducFinaSv,OthrFinaSv,Num_services
238,1,1,0,0,1,1,1,1,1,0,0,1,1,1,10
239,0,1,1,1,1,1,1,1,1,1,0,0,0,0,9
240,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3
241,1,1,0,0,0,1,1,1,1,0,0,0,0,0,6
242,1,1,1,1,1,1,1,1,1,0,0,0,1,0,10
243,1,1,0,1,0,1,1,1,1,0,0,0,0,0,7
244,0,1,0,1,0,1,1,1,0,0,0,0,0,0,5
245,0,1,0,1,0,1,1,1,1,0,0,0,0,0,6
246,1,0,0,1,0,1,1,1,1,1,0,0,0,0,7
247,0,1,0,0,1,0,0,0,0,0,1,0,0,0,3
248,1,0,0,1,1,1,1,1,1,1,0,0,0,0,8
249,0,1,0,1,0,1,1,1,0,0,0,0,0,0,5
250,0,0,0,1,1,1,1,1,1,1,0,0,0,0,7
251,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3
252,0,1,0,0,1,0,0,1,1,0,0,0,0,0,4
253,1,1,1,1,0,1,1,1,1,0,0,1,0,0,9
254,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3
255,1,1,0,1,0,1,1,1,1,0,0,1,0,0,8
256,0,1,1,1,1,1,1,1,1,0,0,0,0,1,9
257,1,1,0,0,0,1,1,1,1,0,1,0,0,0,7
258,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3
259,1,1,0,1,0,1,1,1,1,0,1,0,0,0,8
260,1,1,0,1,0,1,1,1,1,0,0,0,0,0,7
261,1,1,0,0,0,1,1,1,1,1,1,1,1,1,11
262,1,0,1,1,0,1,1,1,0,0,0,0,0,0,6
263,1,1,0,1,1,1,1,1,1,0,0,1,0,0,9
264,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
265,0,1,0,1,0,1,1,1,1,0,0,1,0,0,7
266,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3
267,1,0,0,1,0,1,1,1,1,1,1,1,0,1,10
268,0,1,0,1,0,1,1,0,0,0,0,0,0,0,4
269,1,1,0,1,0,0,1,1,1,1,0,1,0,0,8
270,0,1,0,1,0,1,1,1,0,0,0,0,0,0,5
271,1,1,0,1,0,1,0,0,0,1,0,0,0,0,5
272,1,1,1,1,1,1,1,1,1,0,1,1,1,1,13
273,1,1,0,1,1,1,1,1,1,0,1,0,0,0,9
274,1,1,0,0,0,1,1,1,0,1,0,0,0,0,6
275,1,1,0,1,1,1,1,1,1,1,0,0,0,0,9
276,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
277,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
278,1,0,0,1,0,0,0,0,0,0,1,0,0,0,3
279,1,1,0,1,0,1,1,1,1,1,0,0,0,0,8
280,1,1,0,1,1,1,1,1,1,0,0,1,1,0,10
281,1,1,1,0,1,0,1,0,0,0,0,0,1,0,6
282,0,1,1,1,0,0,1,0,1,0,1,0,1,0,7
283,1,0,1,1,0,0,1,0,1,1,0,0,1,1,8
284,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
285,1,1,1,1,1,0,1,1,0,0,0,0,0,1,8
286,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
287,0,1,1,1,1,0,1,1,1,1,0,0,1,1,10
288,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
289,0,0,0,0,0,1,1,1,1,0,0,0,0,1,5
290,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
291,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
